                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0373,                 5.0924,                 4.1508,                0.00121,                0.40045,                0.00619,                0.00168,                 2.8753,                   3.84,                 3.9288,             0.00013271,             0.00013271,             0.00013271
                      2,                 2.6893,                 4.8032,                 3.5581,                0.86173,                 0.0119,                0.00809,                0.00204,                 2.4937,                 5.5033,                 3.5424,             0.00026341,             0.00026341,             0.00026341
                      3,                 2.0187,                 4.1227,                 2.6997,                0.37448,                0.18167,                0.11247,                0.05152,                 1.7754,                 3.4738,                 2.8187,             0.00039147,             0.00039147,             0.00039147
                      4,                 1.7065,                 3.5862,                 2.3266,                0.36523,                0.18473,                0.16842,                0.08394,                 1.5071,                 3.0482,                 2.4871,             0.00038812,             0.00038812,             0.00038812
                      5,                 1.5513,                 3.3154,                 2.1584,                0.49953,                0.25989,                 0.2299,                0.13268,                 1.4497,                  3.032,                 2.3638,             0.00038416,             0.00038416,             0.00038416
                      6,                  1.463,                 3.0904,                 2.0499,                0.35755,                0.36857,                0.30854,                0.19087,                 1.3624,                  2.532,                 2.2242,              0.0003802,              0.0003802,              0.0003802
                      7,                 1.3739,                 2.8855,                 1.9504,                0.30394,                 0.3901,                0.31817,                0.18449,                 1.3163,                 2.5128,                 2.1633,             0.00037624,             0.00037624,             0.00037624
                      8,                 1.3077,                 2.7279,                  1.882,                0.25508,                0.41797,                0.35566,                0.21884,                 1.2518,                 2.4582,                 2.0867,             0.00037228,             0.00037228,             0.00037228
                      9,                 1.2491,                 2.6078,                 1.8257,                0.42196,                0.43412,                0.42826,                0.28119,                 1.1451,                 2.1826,                 1.9616,             0.00036832,             0.00036832,             0.00036832
                     10,                 1.1872,                 2.4846,                 1.7668,                0.44461,                0.46211,                0.46065,                0.30729,                 1.1321,                 2.0422,                 1.9458,             0.00036436,             0.00036436,             0.00036436
                     11,                 1.1539,                 2.3573,                  1.717,                0.39874,                0.52399,                0.47616,                0.31858,                 1.0878,                 1.9851,                 1.8803,              0.0003604,              0.0003604,              0.0003604
                     12,                 1.1069,                 2.2917,                  1.675,                0.47371,                0.51795,                0.50531,                0.34316,                 1.0581,                 1.8888,                 1.8327,             0.00035644,             0.00035644,             0.00035644
                     13,                 1.0759,                 2.1945,                 1.6367,                0.45574,                0.49957,                0.46489,                0.32307,                  1.054,                 1.8751,                 1.8242,             0.00035248,             0.00035248,             0.00035248
                     14,                 1.0428,                 2.1167,                 1.5951,                0.42598,                0.51537,                0.48234,                0.34266,                0.98249,                 1.8762,                 1.7333,             0.00034852,             0.00034852,             0.00034852
                     15,                 1.0173,                 2.0735,                 1.5717,                0.47819,                0.57398,                0.55384,                 0.3991,                 1.0117,                 1.7478,                 1.7674,             0.00034456,             0.00034456,             0.00034456
                     16,                0.98766,                 2.0199,                  1.553,                0.61638,                0.57813,                0.59698,                0.44463,                0.95352,                 1.6478,                 1.7075,              0.0003406,              0.0003406,              0.0003406
                     17,                0.97179,                 1.9703,                 1.5337,                0.51445,                0.53148,                0.57291,                0.43127,                0.90907,                 1.6197,                  1.671,             0.00033664,             0.00033664,             0.00033664
                     18,                0.93655,                 1.9141,                 1.5037,                0.59135,                0.59812,                0.62652,                0.47779,                0.88315,                 1.5382,                 1.6269,             0.00033268,             0.00033268,             0.00033268
                     19,                0.92646,                 1.8403,                 1.4877,                0.62494,                0.58793,                0.61341,                0.45943,                0.89681,                 1.5528,                 1.6497,             0.00032872,             0.00032872,             0.00032872
                     20,                0.92838,                 1.8308,                 1.4836,                0.56849,                0.62646,                0.61575,                0.46211,                 0.9274,                 1.5697,                 1.6666,             0.00032476,             0.00032476,             0.00032476
                     21,                 0.9006,                 1.8081,                 1.4613,                0.61913,                0.59496,                0.62743,                0.48607,                0.84635,                 1.5208,                 1.5863,              0.0003208,              0.0003208,              0.0003208
                     22,                0.87037,                 1.7462,                   1.43,                0.72024,                0.55656,                0.63965,                0.49433,                0.82774,                  1.574,                 1.5617,             0.00031684,             0.00031684,             0.00031684
                     23,                0.86617,                 1.7206,                 1.4264,                0.62342,                0.60164,                0.62373,                0.49211,                0.82851,                 1.4871,                 1.5422,             0.00031288,             0.00031288,             0.00031288
                     24,                0.83644,                 1.6827,                 1.4068,                0.61643,                0.63177,                 0.6569,                0.51181,                0.84879,                   1.41,                 1.5796,             0.00030892,             0.00030892,             0.00030892
                     25,                0.83503,                 1.6603,                 1.4045,                0.66161,                0.63205,                0.67227,                0.53177,                 0.8328,                 1.3687,                 1.5496,             0.00030496,             0.00030496,             0.00030496
                     26,                0.81754,                 1.6142,                 1.3808,                0.64757,                 0.6163,                0.67397,                0.53377,                0.81815,                 1.3542,                 1.5223,               0.000301,               0.000301,               0.000301
                     27,                0.81851,                 1.6114,                 1.3833,                0.65598,                 0.5996,                0.66266,                0.52056,                0.83968,                 1.4059,                 1.5758,             0.00029704,             0.00029704,             0.00029704
                     28,                0.79695,                 1.5729,                 1.3689,                0.61041,                0.63473,                0.64285,                0.50961,                0.78944,                 1.3922,                 1.5266,             0.00029308,             0.00029308,             0.00029308
                     29,                0.79566,                 1.5291,                 1.3618,                0.66097,                0.65811,                0.69766,                0.55748,                0.75767,                  1.311,                   1.46,             0.00028912,             0.00028912,             0.00028912
                     30,                0.78942,                 1.5322,                 1.3591,                0.64769,                0.63211,                0.67613,                0.54304,                0.74586,                 1.3316,                 1.4557,             0.00028516,             0.00028516,             0.00028516
                     31,                0.76393,                 1.4919,                 1.3356,                 0.6073,                0.71397,                0.70365,                0.57527,                0.73293,                 1.2463,                 1.4305,              0.0002812,              0.0002812,              0.0002812
                     32,                0.77172,                 1.5017,                 1.3431,                0.65323,                0.65405,                0.68348,                0.55959,                0.73831,                 1.2925,                 1.4359,             0.00027724,             0.00027724,             0.00027724
                     33,                0.75554,                 1.4695,                  1.322,                0.68971,                 0.6613,                0.70052,                0.56759,                0.73194,                 1.3109,                 1.4552,             0.00027328,             0.00027328,             0.00027328
                     34,                0.74385,                 1.4239,                  1.319,                0.69208,                0.66928,                0.69986,                0.57298,                 0.7106,                 1.2724,                 1.3965,             0.00026932,             0.00026932,             0.00026932
                     35,                0.74776,                 1.4365,                 1.3214,                0.66366,                 0.6822,                 0.7086,                0.58056,                0.71177,                 1.2416,                 1.4066,             0.00026536,             0.00026536,             0.00026536
                     36,                0.74877,                 1.4298,                 1.3149,                0.63089,                0.69728,                0.72018,                0.59507,                0.69096,                 1.2183,                 1.3825,              0.0002614,              0.0002614,              0.0002614
                     37,                 0.7377,                 1.4109,                 1.3138,                0.66623,                0.67284,                0.71953,                0.58832,                0.70034,                 1.1991,                 1.4091,             0.00025744,             0.00025744,             0.00025744
                     38,                0.71785,                 1.3989,                 1.2989,                0.65025,                0.66758,                0.71368,                0.59046,                0.69129,                 1.2495,                 1.3869,             0.00025348,             0.00025348,             0.00025348
                     39,                0.71172,                 1.3655,                 1.2906,                 0.6981,                0.68164,                0.72434,                 0.5964,                 0.7219,                 1.1953,                 1.4354,             0.00024952,             0.00024952,             0.00024952
                     40,                0.70517,                  1.329,                  1.287,                 0.7235,                0.72258,                0.74183,                0.62111,                0.68302,                 1.1469,                 1.3773,             0.00024556,             0.00024556,             0.00024556
                     41,                0.71406,                 1.3343,                  1.293,                0.68317,                0.69867,                0.71964,                0.59348,                0.71273,                 1.2151,                 1.3765,              0.0002416,              0.0002416,              0.0002416
                     42,                0.70897,                 1.3372,                 1.2891,                0.72402,                0.67655,                0.72446,                0.60406,                0.67727,                 1.1534,                 1.3742,             0.00023764,             0.00023764,             0.00023764
                     43,                0.69477,                 1.3039,                 1.2752,                0.71595,                0.70329,                 0.7394,                0.60086,                0.68846,                 1.1318,                  1.361,             0.00023368,             0.00023368,             0.00023368
                     44,                 0.6846,                 1.2958,                 1.2602,                0.76035,                0.66829,                 0.7418,                0.62435,                0.66672,                 1.1073,                 1.3704,             0.00022972,             0.00022972,             0.00022972
                     45,                0.67635,                 1.2756,                 1.2555,                0.72375,                0.69698,                0.73876,                 0.6153,                0.67902,                  1.106,                 1.3766,             0.00022576,             0.00022576,             0.00022576
                     46,                0.68734,                  1.286,                 1.2661,                0.76399,                0.65597,                0.74193,                0.61758,                0.66877,                 1.1238,                 1.3603,              0.0002218,              0.0002218,              0.0002218
                     47,                0.69048,                 1.2714,                 1.2671,                0.71112,                0.72278,                0.74669,                0.62249,                0.67854,                 1.1158,                 1.3766,             0.00021784,             0.00021784,             0.00021784
                     48,                0.67633,                 1.2508,                 1.2553,                0.72533,                0.71027,                 0.7473,                0.62491,                0.64112,                 1.1022,                 1.3192,             0.00021388,             0.00021388,             0.00021388
                     49,                0.67011,                 1.2231,                 1.2497,                0.67335,                0.75839,                 0.7637,                0.64098,                0.65206,                 1.0573,                 1.3514,             0.00020992,             0.00020992,             0.00020992
                     50,                0.66069,                 1.2083,                 1.2377,                0.74368,                0.69732,                0.75378,                0.63483,                0.63649,                 1.0807,                 1.3242,             0.00020596,             0.00020596,             0.00020596
                     51,                0.65112,                 1.2041,                 1.2345,                0.67216,                0.76259,                0.75324,                0.62487,                0.65993,                 1.0523,                 1.3541,               0.000202,               0.000202,               0.000202
                     52,                0.65475,                 1.2081,                  1.237,                0.68275,                 0.7393,                0.75859,                0.63637,                0.66085,                 1.0759,                 1.3608,             0.00019804,             0.00019804,             0.00019804
                     53,                  0.642,                 1.1646,                 1.2241,                0.78152,                0.69989,                0.75992,                0.63859,                0.66688,                 1.0456,                 1.3495,             0.00019408,             0.00019408,             0.00019408
                     54,                0.65952,                 1.1915,                 1.2409,                0.67872,                0.77003,                0.76164,                0.63493,                0.64446,                  1.032,                 1.3262,             0.00019012,             0.00019012,             0.00019012
                     55,                 0.6297,                 1.1701,                 1.2139,                0.75615,                0.71329,                0.77321,                0.65574,                0.63108,                 1.0295,                   1.32,             0.00018616,             0.00018616,             0.00018616
                     56,                 0.6357,                 1.1635,                 1.2194,                0.78903,                0.70876,                0.77278,                0.64682,                0.64749,                 1.0263,                 1.3341,              0.0001822,              0.0001822,              0.0001822
                     57,                0.62563,                 1.1356,                 1.2101,                0.75553,                0.70926,                0.75932,                0.65051,                0.61157,                 1.0001,                 1.2943,             0.00017824,             0.00017824,             0.00017824
                     58,                0.62353,                 1.1199,                 1.2106,                0.75744,                0.73167,                0.77298,                0.66239,                0.59511,                0.99551,                 1.2675,             0.00017428,             0.00017428,             0.00017428
                     59,                0.61795,                  1.133,                 1.2031,                0.76382,                0.73112,                0.77925,                0.67312,                0.60876,                0.99266,                  1.279,             0.00017032,             0.00017032,             0.00017032
                     60,                0.62318,                 1.1036,                 1.2052,                0.71581,                0.76483,                0.78444,                0.67444,                0.59845,                0.97695,                 1.2605,             0.00016636,             0.00016636,             0.00016636
                     61,                0.60222,                 1.1017,                 1.1966,                0.78163,                0.74354,                0.80129,                0.68712,                0.57631,                0.95629,                 1.2451,              0.0001624,              0.0001624,              0.0001624
                     62,                0.60625,                 1.0877,                 1.1904,                0.72166,                0.73448,                0.76734,                0.65804,                0.59913,                0.98588,                 1.2871,             0.00015844,             0.00015844,             0.00015844
                     63,                0.60392,                 1.0845,                 1.1924,                0.75163,                0.70179,                0.76669,                0.66485,                0.61458,                0.99997,                 1.3124,             0.00015448,             0.00015448,             0.00015448
                     64,                0.60668,                 1.0808,                 1.1928,                  0.764,                0.74182,                0.78148,                0.66667,                 0.5985,                 1.0096,                 1.2586,             0.00015052,             0.00015052,             0.00015052
                     65,                0.59758,                 1.0603,                 1.1879,                 0.7219,                0.71024,                0.77677,                0.66645,                0.58512,                0.99527,                 1.2559,             0.00014656,             0.00014656,             0.00014656
                     66,                0.58882,                 1.0622,                 1.1783,                0.76244,                0.74178,                0.79126,                0.68424,                0.57193,                0.93647,                 1.2459,              0.0001426,              0.0001426,              0.0001426
                     67,                0.58914,                 1.0418,                 1.1733,                0.72615,                0.74202,                0.78025,                0.67012,                0.60009,                 0.9907,                 1.2823,             0.00013864,             0.00013864,             0.00013864
                     68,                0.58421,                 1.0486,                 1.1746,                0.71814,                0.75265,                 0.7788,                0.67583,                0.56843,                0.96594,                 1.2256,             0.00013468,             0.00013468,             0.00013468
                     69,                  0.575,                 1.0227,                 1.1637,                0.75763,                0.75894,                0.80202,                 0.6849,                0.59969,                0.95236,                 1.2608,             0.00013072,             0.00013072,             0.00013072
                     70,                 0.5777,                 1.0152,                 1.1709,                0.75181,                 0.7397,                0.78897,                0.68476,                0.58785,                0.97263,                 1.2597,             0.00012676,             0.00012676,             0.00012676
                     71,                0.57447,                 1.0169,                 1.1659,                0.75629,                0.74893,                0.79175,                0.68573,                0.58658,                0.97019,                 1.2445,              0.0001228,              0.0001228,              0.0001228
                     72,                0.56491,                 1.0018,                 1.1578,                0.72136,                0.76869,                 0.7865,                0.68531,                0.56762,                0.95802,                 1.2375,             0.00011884,             0.00011884,             0.00011884
                     73,                0.57027,                0.99117,                 1.1643,                0.76144,                 0.7658,                0.79675,                0.69166,                0.57334,                0.92165,                 1.2587,             0.00011488,             0.00011488,             0.00011488
                     74,                0.56508,                 1.0193,                  1.158,                0.73783,                0.78742,                0.80935,                0.70168,                0.57649,                0.89742,                 1.2517,             0.00011092,             0.00011092,             0.00011092
                     75,                0.56841,                 1.0054,                 1.1614,                0.77568,                0.74883,                0.80834,                0.70309,                0.56083,                0.91444,                  1.239,             0.00010696,             0.00010696,             0.00010696
                     76,                0.55712,                0.97929,                 1.1515,                0.79628,                0.74692,                0.79111,                0.68922,                0.56974,                0.94819,                 1.2375,               0.000103,               0.000103,               0.000103
                     77,                0.55615,                0.95862,                 1.1495,                0.78903,                0.74094,                0.79951,                0.69334,                0.56264,                0.93486,                 1.2295,              9.904e-05,              9.904e-05,              9.904e-05
                     78,                0.54694,                 0.9568,                 1.1471,                0.81193,                 0.7393,                 0.8085,                0.70068,                0.57573,                0.92771,                 1.2477,              9.508e-05,              9.508e-05,              9.508e-05
                     79,                0.54642,                0.95004,                 1.1403,                0.80113,                 0.7345,                0.80015,                0.69554,                0.56459,                 0.9067,                 1.2266,              9.112e-05,              9.112e-05,              9.112e-05
                     80,                0.54908,                0.95015,                  1.147,                0.78359,                0.75937,                 0.7975,                0.69745,                 0.5568,                0.92111,                 1.2245,              8.716e-05,              8.716e-05,              8.716e-05
                     81,                0.54909,                0.95289,                 1.1466,                0.78395,                0.74749,                0.80595,                0.70387,                0.55855,                0.90341,                 1.2284,               8.32e-05,               8.32e-05,               8.32e-05
                     82,                0.54548,                0.95499,                 1.1418,                0.79869,                0.74999,                0.80194,                0.70082,                0.56371,                0.92077,                 1.2238,              7.924e-05,              7.924e-05,              7.924e-05
                     83,                0.52976,                0.93037,                 1.1312,                0.80163,                0.76141,                 0.8083,                0.70352,                0.56442,                0.91812,                 1.2353,              7.528e-05,              7.528e-05,              7.528e-05
                     84,                0.53539,                0.92824,                  1.136,                0.81358,                0.74739,                0.80087,                0.70086,                0.55779,                0.91673,                 1.2262,              7.132e-05,              7.132e-05,              7.132e-05
                     85,                 0.5286,                0.89552,                 1.1333,                0.79827,                0.75468,                 0.8098,                 0.7107,                0.55838,                0.89724,                 1.2246,              6.736e-05,              6.736e-05,              6.736e-05
                     86,                 0.5251,                0.91072,                 1.1258,                 0.7966,                0.74717,                0.80202,                 0.7034,                0.57155,                0.91627,                 1.2375,               6.34e-05,               6.34e-05,               6.34e-05
                     87,                0.52711,                 0.9116,                 1.1314,                0.81557,                0.77627,                0.81227,                0.70926,                0.57133,                 0.9002,                 1.2368,              5.944e-05,              5.944e-05,              5.944e-05
                     88,                0.51911,                0.89738,                 1.1239,                0.81118,                0.74615,                0.80698,                0.70748,                0.55845,                0.89772,                 1.2213,              5.548e-05,              5.548e-05,              5.548e-05
                     89,                0.52509,                0.88906,                 1.1251,                0.78788,                0.76647,                0.80697,                0.70118,                0.56985,                0.90026,                 1.2341,              5.152e-05,              5.152e-05,              5.152e-05
                     90,                 0.5261,                  0.886,                 1.1278,                0.74896,                0.80298,                 0.8168,                0.71363,                0.55985,                0.87471,                 1.2314,              4.756e-05,              4.756e-05,              4.756e-05
                     91,                0.42759,                0.78445,                 1.1152,                0.74501,                0.79932,                 0.8093,                0.70264,                0.57368,                0.90712,                 1.2294,               4.36e-05,               4.36e-05,               4.36e-05
                     92,                0.39723,                0.66778,                 1.0873,                0.80451,                0.75065,                0.80529,                0.70455,                0.55588,                0.88238,                 1.2213,              3.964e-05,              3.964e-05,              3.964e-05
                     93,                 0.4052,                0.67007,                 1.0981,                0.80944,                0.75922,                0.80966,                0.71347,                0.54655,                0.86697,                 1.2063,              3.568e-05,              3.568e-05,              3.568e-05
                     94,                0.38757,                0.63539,                 1.0786,                0.77284,                0.78702,                0.81371,                0.71249,                0.54874,                0.87626,                 1.2065,              3.172e-05,              3.172e-05,              3.172e-05
                     95,                0.38678,                0.64263,                 1.0812,                0.81551,                0.75158,                0.81328,                0.71147,                0.54454,                0.86626,                 1.1976,              2.776e-05,              2.776e-05,              2.776e-05
                     96,                0.39209,                0.61952,                 1.0802,                0.80157,                0.76495,                0.81371,                0.71483,                0.54531,                 0.8591,                 1.2006,               2.38e-05,               2.38e-05,               2.38e-05
                     97,                0.38365,                0.62265,                 1.0783,                0.81279,                 0.7596,                0.81702,                0.71881,                0.54627,                0.85237,                 1.2029,              1.984e-05,              1.984e-05,              1.984e-05
                     98,                0.37537,                0.59146,                 1.0661,                0.82113,                0.74911,                0.81859,                 0.7185,                0.53789,                0.84357,                 1.1986,              1.588e-05,              1.588e-05,              1.588e-05
                     99,                 0.3668,                0.60095,                 1.0575,                0.82732,                0.74496,                0.81685,                0.71927,                0.53878,                0.85265,                 1.2027,              1.192e-05,              1.192e-05,              1.192e-05
                    100,                0.36346,                0.59692,                 1.0571,                  0.823,                0.76092,                0.81639,                0.71952,                0.54164,                0.84549,                 1.2003,               7.96e-06,               7.96e-06,               7.96e-06
